tweets,Date
920076,April 01 2020
2473863,April 01 2021
879504,April 01 2022
826271,April 02 2020
2324899,April 02 2021
893457,April 02 2022
612512,April 03 2020
2157365,April 03 2021
955923,April 03 2022
685560,April 04 2020
2043719,April 04 2021
952556,April 04 2022
717301,April 05 2020
2879012,April 05 2021
932282,April 05 2022
722921,April 06 2020
3187888,April 06 2021
1010420,April 06 2022
554012,April 07 2020
3044808,April 07 2021
1047292,April 07 2022
589679,April 08 2020
2993795,April 08 2021
935860,April 08 2022
517718,April 09 2020
2517334,April 09 2021
904504,April 09 2022
601199,April 10 2020
2241700,April 10 2021
957397,April 10 2022
497655,April 11 2020
2409810,April 11 2021
1074254,April 11 2022
477182,April 12 2020
2812947,April 12 2021
1351312,April 12 2022
288277,April 13 2020
3850249,April 13 2021
1195636,April 13 2022
515739,April 14 2020
2163860,April 14 2021
1061116,April 14 2022
427088,April 15 2020
2469813,April 15 2021
622089,April 15 2022
433368,April 16 2020
2846397,April 16 2021
655972,April 16 2022
392847,April 17 2020
2108708,April 17 2021
695484,April 17 2022
2671818,April 18 2020
3130544,April 18 2021
887015,April 18 2022
2393006,April 19 2020
3244223,April 19 2021
1387917,April 19 2022
2227579,April 20 2020
3146119,April 20 2021
1134417,April 20 2022
2211689,April 21 2020
3062845,April 21 2021
961573,April 21 2022
2265189,April 22 2020
3302982,April 22 2021
862924,April 22 2022
2201138,April 23 2020
3374543,April 23 2021
711205,April 23 2022
2338713,April 24 2020
3565350,April 24 2021
691898,April 24 2022
1981835,April 25 2020
3628888,April 25 2021
824321,April 25 2022
2348827,April 26 2020
3780245,April 26 2021
1039040,April 26 2022
2212216,April 27 2020
3643677,April 27 2021
1139530,April 27 2022
2118853,April 28 2020
3590871,April 28 2021
1009305,April 28 2022
2390703,April 29 2020
4774322,April 29 2021
928562,April 29 2022
2184439,April 30 2020
2391453,April 30 2021
774914,April 30 2022
3533863,August 01 2020
2798436,August 01 2021
822397,August 01 2022
3748433,August 02 2020
3151448,August 02 2021
789297,August 02 2022
3810246,August 03 2020
3167497,August 03 2021
666986,August 03 2022
3726039,August 04 2020
3449161,August 04 2021
635797,August 04 2022
3770597,August 05 2020
3525523,August 05 2021
801061,August 05 2022
3839194,August 06 2020
3171987,August 06 2021
637663,August 06 2022
3702517,August 07 2020
2919025,August 07 2021
628780,August 07 2022
3482091,August 08 2020
2876574,August 08 2021
650378,August 08 2022
3822854,August 09 2020
3338338,August 09 2021
575811,August 09 2022
3911443,August 10 2020
3279238,August 10 2021
634418,August 10 2022
3838286,August 11 2020
3342272,August 11 2021
655064,August 11 2022
3624028,August 12 2020
3385156,August 12 2021
728319,August 12 2022
3749980,August 13 2020
3053259,August 13 2021
611197,August 13 2022
3683305,August 14 2020
2544446,August 14 2021
520366,August 14 2022
3187087,August 15 2020
2100263,August 15 2021
653194,August 15 2022
3181939,August 16 2020
2184974,August 16 2021
696690,August 16 2022
3680958,August 17 2020
2816241,August 17 2021
709587,August 17 2022
3610316,August 18 2020
2953666,August 18 2021
763492,August 18 2022
3534349,August 19 2020
2957709,August 19 2021
711479,August 19 2022
3609804,August 20 2020
2922324,August 20 2021
622231,August 20 2022
3962927,August 21 2020
3337045,August 21 2021
535073,August 21 2022
3583818,August 22 2020
1958737,August 22 2021
658728,August 22 2022
4045201,August 23 2020
3258977,August 23 2021
708675,August 23 2022
3982835,August 24 2020
3096587,August 24 2021
1140135,August 24 2022
3896212,August 25 2020
3008014,August 25 2021
456863,August 25 2022
3965851,August 26 2020
2724974,August 26 2021
858016,August 26 2022
3913091,August 27 2020
2817496,August 27 2021
407410,August 27 2022
3850248,August 28 2020
2493586,August 28 2021
