Serial No.,Student ID,GRE Score,TOEFL Score,University Rating,SOP,LOR,CGPA,Research,Chance of Admit
1,25001,337,118,4,4.5,4.5,9.65,1,0.92
2,25002,324,107,4,4,4.5,8.87,1,0.76
3,25003,316,104,3,3,3.5,8,1,0.72
4,25004,322,110,3,3.5,2.5,8.67,1,0.8
5,25005,314,103,2,2,3,8.21,0,0.65
6,25006,330,115,5,4.5,3,9.34,1,0.9
7,25007,321,109,3,3,4,8.2,1,0.75
8,25008,308,101,2,3,4,7.9,0,0.68
9,25009,302,102,1,2,1.5,8,0,0.5
10,25010,323,108,3,3.5,3,8.6,0,0.45
11,25011,325,106,3,3.5,4,8.4,1,0.52
12,25012,327,111,4,4,4.5,9,1,0.84
13,25013,328,112,4,4,4.5,9.1,1,0.78
14,25014,307,109,3,4,3,8,1,0.62
15,25015,311,104,3,3.5,2,8.2,1,0.61
16,25016,314,105,3,3.5,2.5,8.3,0,0.54
17,25017,317,107,3,4,3,8.7,0,0.66
18,25018,319,106,3,4,3,8,1,0.65
19,25019,318,110,3,4,3,8.8,0,0.63
20,25020,303,102,3,3.5,3,8.5,0,0.62
21,25021,312,107,3,3,2,7.9,1,0.64
22,25022,325,114,4,3,2,8.4,0,0.7
23,25023,328,116,5,5,5,9.5,1,0.94
24,25024,334,119,5,5,4.5,9.7,1,0.95
25,25025,336,119,5,4,3.5,9.8,1,0.97
26,25026,340,120,5,4.5,4.5,9.6,1,0.94
27,25027,322,109,5,4.5,3.5,8.8,0,0.76
28,25028,298,98,2,1.5,2.5,7.5,1,0.44
29,25029,295,93,1,2,2,7.2,0,0.46
30,25030,310,99,2,1.5,2,7.3,0,0.54
31,25031,300,97,2,3,3,8.1,1,0.65
32,25032,327,103,3,4,4,8.3,1,0.74
33,25033,338,118,4,3,4.5,9.4,1,0.91
34,25034,340,114,5,4,4,9.6,1,0.9
35,25035,331,112,5,4,5,9.8,1,0.94
36,25036,320,110,5,5,5,9.2,1,0.88
37,25037,299,106,2,4,4,8.4,0,0.64
38,25038,300,105,1,1,2,7.8,0,0.58
39,25039,304,105,1,3,1.5,7.5,0,0.52
40,25040,307,108,2,4,3.5,7.7,0,0.48
41,25041,308,110,3,3.5,3,8,1,0.46
42,25042,316,105,2,2.5,2.5,8.2,1,0.49
43,25043,313,107,2,2.5,2,8.5,1,0.53
44,25044,332,117,4,4.5,4,9.1,0,0.87
45,25045,326,113,5,4.5,4,9.4,1,0.91
46,25046,322,110,5,5,4,9.1,1,0.88
47,25047,329,114,5,4,5,9.3,1,0.86
48,25048,339,119,5,4.5,4,9.7,0,0.89
49,25049,321,110,3,3.5,5,8.85,1,0.82
50,25050,327,111,4,3,4,8.4,1,0.78
51,25051,313,98,3,2.5,4.5,8.3,1,0.76
52,25052,312,100,2,1.5,3.5,7.9,1,0.56
53,25053,334,116,4,4,3,8,1,0.78
54,25054,324,112,4,4,2.5,8.1,1,0.72
55,25055,322,110,3,3,3.5,8,0,0.7
56,25056,320,103,3,3,3,7.7,0,0.64
57,25057,316,102,3,2,3,7.4,0,0.64
58,25058,298,99,2,4,2,7.6,0,0.46
59,25059,300,99,1,3,2,6.8,1,0.36
60,25060,311,104,2,2,2,8.3,0,0.42
61,25061,309,100,2,3,3,8.1,0,0.48
62,25062,307,101,3,4,3,8.2,0,0.47
63,25063,304,105,2,3,3,8.2,1,0.54
64,25064,315,107,2,4,3,8.5,1,0.56
65,25065,325,111,3,3,3.5,8.7,0,0.52
66,25066,325,112,4,3.5,3.5,8.92,0,0.55
67,25067,327,114,3,3,3,9.02,0,0.61
68,25068,316,107,2,3.5,3.5,8.64,1,0.57
69,25069,318,109,3,3.5,4,9.22,1,0.68
70,25070,328,115,4,4.5,4,9.16,1,0.78
71,25071,332,118,5,5,5,9.64,1,0.94
72,25072,336,112,5,5,5,9.76,1,0.96
73,25073,321,111,5,5,5,9.45,1,0.93
74,25074,314,108,4,4.5,4,9.04,1,0.84
75,25075,314,106,3,3,5,8.9,0,0.74
76,25076,329,114,2,2,4,8.56,1,0.72
77,25077,327,112,3,3,3,8.72,1,0.74
78,25078,301,99,2,3,2,8.22,0,0.64
79,25079,296,95,2,3,2,7.54,1,0.44
80,25080,294,93,1,1.5,2,7.36,0,0.46
81,25081,312,105,3,2,3,8.02,1,0.5
